No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
74,Isaiah Adams,24,OL,15,5,315,6-4,Wilfrid LaurierGarden City (KS)Illinois,7/21/2000,Rook,3,Arizona Cardinals / 3rd / 71st pick / 2024,AdamIs01
41,Markus Bailey,27,LB,1,0,235,6-1,Purdue,3/7/1997,4,0,Cincinnati Bengals / 7th / 215th pick / 2020,BailMa01
3,Budda Baker,28,FS,17,17,195,5-10,Washington,1/10/1996,7,9,Arizona Cardinals / 2nd / 36th pick / 2017,BakeBu00
51,Krys Barnes,26,LB,17,0,229,6-2,UCLA,4/2/1998,4,1,,BarnKr00
66,Jackson Barton,29,OL,4,2,302,6-7,Utah,8/8/1995,3,1,Indianapolis Colts / 7th / 240th pick / 2019,BartJa00
68,Kelvin Beachum,35,RT,16,12,308,6-3,SMU,6/8/1989,12,6,Pittsburgh Steelers / 7th / 248th pick / 2012,BeacKe00
33,Trey Benson,22,RB,13,1,220,6-0,OregonFlorida St.,7/23/2002,Rook,2,Arizona Cardinals / 3rd / 66th pick / 2024,BensTr01
90,Angelo Blackson,32,DL,1,0,318,6-4,Auburn,11/14/1992,9,0,Tennessee Titans / 4th / 100th pick / 2015,BlacAn00
32,Joey Blount,26,S,15,0,195,6-1,Virginia,11/16/1998,2,1,,BlouJo00
46,Aaron Brewer,34,LS,17,0,232,6-5,San Diego St.,7/5/1990,12,1,,BrewAa00
62,Evan Brown,28,LG,17,17,320,6-3,SMU,9/16/1996,5,8,,BrowEv00
,Baron Browning,25,OLB,8,1,255,6-3,Ohio St.,2/19/1999,3,1,Denver Broncos / 3rd / 105th pick / 2021,BrowBa01
22,Michael Carter,25,RB,3,1,201,5-8,North Carolina,5/7/1999,3,1,New York Jets / 4th / 107th pick / 2021,CartMi03
36,Andre Chachere,28,S,3,0,197,6-0,San Jose St.,2/10/1996,3,0,,ChacAn00
13,Kei'Trel Clark,23,CB,15,1,181,5-10,LibertyLouisville,3/19/2001,1,1,Arizona Cardinals / 6th / 180th pick / 2023,ClarKe02
91,L.J. Collier,29,LDE,17,15,300,6-2,TCU,9/12/1995,5,7,Seattle Seahawks / 1st / 29th pick / 2019,CollLJ00
25,Zaven Collins,25,LOLB,17,17,270,6-4,Tulsa,5/19/1999,3,7,Arizona Cardinals / 1st / 16th pick / 2021,CollZa00
63,Trystan Colon,26,RG,17,7,317,6-3,Missouri,3/23/1998,4,4,,ColoTr01
6,James Conner,29,RB,16,16,233,6-1,Pittsburgh,5/5/1995,7,11,Pittsburgh Steelers / 3rd / 105th pick / 2017,ConnJa00
20,DeeJay Dallas,26,RB,17,0,217,5-10,Miami (FL),9/16/1998,4,1,Seattle Seahawks / 4th / 144th pick / 2020,DallDe00
31,Emari Demercado,25,RB,13,0,215,5-9,Saddleback CollegeTCU,1/20/1999,1,2,,DemeEm00
52,Victor Dimukeje,25,OLB,11,0,262,6-2,Duke,11/18/1999,3,1,Arizona Cardinals / 6th / 210th pick / 2021,DimuVi00
4,Greg Dortch,26,WR,17,4,180,5-7,Wake Forest,5/29/1998,5,3,,DortGr01
48,Milo Eifler,26,LB,2,0,228,6-1,WashingtonIllinois,2/13/1998,3,0,,EiflMi00
