No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
28,De'Von Achane,23,RB,17,16,191,5-9,Texas A&M,10/13/2001,1,11,Miami Dolphins / 3rd / 84th pick / 2023,AchaDe00
46,Tucker Addington,27,LS,3,0,230,6-2,Sam Houston St.,7/16/1997,2,0,,AddiTu00
72,Terron Armstead,33,LT,15,15,305,6-5,Ark-Pine Bluff,7/23/1991,11,7,New Orleans Saints / 3rd / 75th pick / 2013,ArmsTe00
16,Jake Bailey,27,P,17,0,212,6-2,Stanford,6/18/1997,5,2,New England Patriots / 5th / 163rd pick / 2019,BailJa00
3,Odell Beckham Jr.,32,WR,9,0,200,5-11,LSU,11/5/1992,10,0,New York Giants / 1st / 12th pick / 2014,BeckOd00
56,Quinton Bell,28,LB,17,3,258,6-4,Prairie View A&M,5/9/1996,4,3,Oakland Raiders / 7th / 230th pick / 2019,BellQu00
0,Braxton Berrios,29,WR,6,0,185,5-9,Miami (FL),10/6/1995,5,0,New England Patriots / 6th / 210th pick / 2018,BerrBr00
27,Ethan Bonner,25,CB,5,0,190,6-1,Stanford,10/23/1999,1,0,,BonnEt00
,Tyus Bowser,29,LOLB,7,4,250,6-3,Houston,5/23/1995,7,2,Baltimore Ravens / 2nd / 47th pick / 2017,BowsTy00
,Tim Boyle,30,QB,2,0,233,6-4,ConnecticutEastern Kentucky,10/3/1994,5,1,,BoylTi00
55,Aaron Brewer,27,C,17,17,295,6-1,Texas St.,10/28/1997,4,7,,BrewAa01
20,Jordyn Brooks,27,RILB,17,17,240,6-0,Texas Tech,10/21/1997,4,9,Seattle Seahawks / 1st / 27th pick / 2020,BrooJo01
93,Calais Campbell,38,NT,17,17,315,6-8,Miami (FL),9/1/1986,16,9,Arizona Cardinals / 2nd / 50th pick / 2008,CampCa99
22,Elijah Campbell,29,DB,17,1,200,5-11,Iowa WesternNorthern IllinoisNorthern Iowa,8/24/1995,4,2,,CampEl00
76,Jackson Carman,24,T,8,1,325,6-5,Clemson,1/22/2000,3,1,Cincinnati Bengals / 2nd / 46th pick / 2021,CarmJa00
84,Robbie Chosen,31,WR,2,0,190,6-3,Temple,5/9/1993,8,0,,AndeRo04
80,Tanner Conner,26,TE,8,1,237,6-3,Idaho St.,3/20/1998,2,0,,ConnTa00
