No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
3,Jordan Addison,22,WR,15,15,179,5-11,PittsburghUSC,1/27/2002,1,8,Minnesota Vikings / 1st / 23rd pick / 2023,AddiJo00
,Cam Akers,25,RB,12,0,217,5-10,Florida St.,6/22/1999,4,2,Los Angeles Rams / 2nd / 52nd pick / 2020,AkerCa00
2,Brian Asamoah,24,LB,17,0,230,6-1,Oklahoma,3/29/2000,2,1,Minnesota Vikings / 3rd / 66th pick / 2022,AsamBr00
56,Garrett Bradbury,29,C,17,17,300,6-3,North Carolina St.,6/20/1995,5,7,Minnesota Vikings / 1st / 18th pick / 2019,BradGa00
64,Blake Brandel,27,LG,17,17,315,6-6,Oregon St.,1/23/1997,3,7,Minnesota Vikings / 6th / 203rd pick / 2020,BranBl00
90,Jonathan Bullard,31,RDE,17,17,290,6-3,Florida,10/22/1993,8,8,Chicago Bears / 3rd / 72nd pick / 2016,BullJo00
24,Camryn Bynum,26,FS,17,17,200,6-0,California,7/19/1998,3,7,Minnesota Vikings / 4th / 125th pick / 2021,BynuCa00
51,Blake Cashman,28,RILB,14,14,235,6-1,Minnesota,5/10/1996,5,7,New York Jets / 5th / 157th pick / 2019,CashBl00
32,Ty Chandler,26,RB,17,0,205,5-11,TennesseeNorth Carolina,5/12/1998,2,2,Minnesota Vikings / 5th / 169th pick / 2022,ChanTy01
14,Sam Darnold,27,QB,17,17,225,6-3,USC,6/5/1997,6,14,New York Jets / 1st / 3rd pick / 2018,DarnSa00
71,Christian Darrisaw,25,T,7,7,315,6-5,Virginia Tech,6/2/1999,3,4,Minnesota Vikings / 1st / 23rd pick / 2021,DarrCh00
57,Jamin Davis,26,LB,4,0,234,6-4,Kentucky,12/12/1998,3,0,Washington Football Team / 1st / 19th pick / 2021,DaviJa11
42,Andrew DePaola,37,LS,13,0,227,6-1,Rutgers,7/28/1987,10,2,,DePaAn00
21,Akayleb Evans,25,CB,7,0,198,6-2,TulsaMissouri,6/22/1999,2,0,Minnesota Vikings / 4th / 118th pick / 2022,EvanAk00
69,Dan Feeney,30,C,8,0,310,6-4,Indiana,5/29/1994,7,1,Los Angeles Chargers / 3rd / 71st pick / 2017,FeenDa00
37,Myles Gaskin,27,RB,5,0,200,5-10,Washington,2/15/1997,5,0,Miami Dolphins / 7th / 234th pick / 2019,GaskMy00
2,Stephon Gilmore,34,LCB,15,15,190,6-0,South Carolina,9/19/1990,12,6,Buffalo Bills / 1st / 10th pick / 2012,GilmSt00
58,Jonathan Greenard,27,ROLB,17,17,259,6-3,LouisvilleFlorida,5/25/1997,4,12,Houston Texans / 3rd / 90th pick / 2020,GreeJo04
1,Shaquill Griffin,29,CB,17,3,198,6-0,Central Florida,7/20/1995,7,2,Seattle Seahawks / 3rd / 90th pick / 2017,GrifSh00
54,Kamu Grugier-Hill,30,LB,17,1,230,6-2,Eastern Illinois,5/16/1994,8,2,New England Patriots / 6th / 208th pick / 2016,GrugKa00
30,C.J. Ham,31,FB,17,3,250,5-11,Augustana (SD),7/22/1993,7,0,,HamxC.00
87,T.J. Hockenson,27,TE,10,9,248,6-5,Iowa,7/3/1997,5,4,Detroit Lions / 1st / 8th pick / 2019,HockTJ00
67,Ed Ingram,25,RG,16,9,307,6-3,LSU,2/11/1999,2,4,Minnesota Vikings / 2nd / 59th pick / 2022,IngrEd00
25,Theo Jackson,26,S,17,0,205,6-1,Tennessee,10/2/1998,2,1,Tennessee Titans / 6th / 204th pick / 2022,JackTh00
8,Trishton Jackson,26,WR,2,0,200,6-1,Michigan St.Syracuse,3/9/1998,1,0,,JackTr02
18,Justin Jefferson,25,WR,17,17,195,6-1,LSU,6/16/1999,4,14,Minnesota Vikings / 1st / 22nd pick / 2020,JeffJu00
33,Aaron Jones,30,RB,17,17,208,5-10,Texas-El Paso,12/2/1994,7,11,Green Bay Packers / 5th / 182nd pick / 2017,JoneAa00
91,Patrick Jones II,26,OLB,15,1,264,6-4,Pittsburgh,9/29/1998,3,2,Minnesota Vikings / 3rd / 90th pick / 2021,JonePa00
65,Michael Jurgens,24,G,3,0,311,6-5,Wake Forest,1/1/2000,Rook,0,Minnesota Vikings / 7th / 230th pick / 2024,JurgMi02
28,Bobby McCain,31,S,3,0,196,5-9,Memphis,8/18/1993,9,0,Miami Dolphins / 5th / 145th pick / 2015,McCaBo01
29,Dwight McGlothern,22,CB,5,0,185,6-2,LSUArkansas,2/6/2002,Rook,0,,McGlDw00
47,Jake McQuaide,37,LS,4,0,235,6-2,Ohio St.,12/7/1987,13,0,,McQuJa00
44,Josh Metellus,26,S,17,10,208,5-11,Michigan,1/21/1998,4,4,Minnesota Vikings / 6th / 205th pick / 2020,MeteJo00
23,Fabian Moreau,30,CB,7,0,204,6-0,UCLA,4/9/1994,7,0,Washington Redskins / 3rd / 81st pick / 2017,MoreFa00
12,Nick Mullens,29,QB,4,0,210,6-0,Southern Miss,3/21/1995,6,0,,MullNi00
86,Johnny Mundt,30,TE,17,3,243,6-4,Oregon,11/23/1994,7,1,,MundJo00
7,Byron Murphy,26,RCB,17,17,190,5-11,Washington,1/18/1998,5,11,Arizona Cardinals / 2nd / 33rd pick / 2019,MurpBy00
,Gabriel Murphy,24,OLB,2,0,248,6-2,North TexasUCLA,10/13/2000,Rook,0,,MurpGa00
