No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
82,Devon Allen,29,WR,2,0,190,6-1,Oregon,12/12/1994,1,0,,AlleDe02
96,Derek Barnett,27,DE,8,0,259,6-3,Tennessee,6/25/1996,6,0,Philadelphia Eagles / 1st / 14th pick / 2017,BarnDe01
32,Reed Blankenship,24,S,15,15,203,6-1,Middle Tenn. St.,3/2/1999,1,4,,BlanRe00
24,James Bradberry,30,CB,16,16,210,6-1,Arkansas St.Samford,8/4/1993,7,4,Carolina Panthers / 2nd / 62nd pick / 2016,BradJa00
11,A.J. Brown,26,WR,17,17,226,6-1,Mississippi,6/30/1997,4,15,Tennessee Titans / 2nd / 51st pick / 2019,BrowAJ00
21,Sydney Brown,23,S,14,6,211,5-10,Illinois,3/21/2000,Rook,2,Philadelphia Eagles / 3rd / 66th pick / 2023,BrowSy00
31,Kevin Byard,30,SS,10,10,218,5-11,Middle Tenn. St.,8/17/1993,7,3,Tennessee Titans / 3rd / 64th pick / 2016,ByarKe01
81,Grant Calcaterra,25,TE,15,1,240,6-4,OklahomaSMU,12/4/1998,1,0,Philadelphia Eagles / 6th / 198th pick / 2022,CalcGr00
98,Jalen Carter,22,DT,16,1,314,6-3,Georgia,4/4/2001,Rook,2,Philadelphia Eagles / 1st / 9th pick / 2023,CartJa05
18,Britain Covey,26,WR,16,0,173,5-8,Utah,3/18/1997,1,0,,CoveBr00
91,Fletcher Cox,33,LDT,15,15,310,6-4,Mississippi St.,12/13/1990,11,6,Philadelphia Eagles / 1st / 12th pick / 2012,CoxxFl00
52,Zach Cunningham,29,LB,13,10,230,6-3,Vanderbilt,12/12/1994,6,4,Houston Texans / 2nd / 57th pick / 2017,CunnZa00
90,Jordan Davis,23,DT,17,17,336,6-6,Georgia,1/12/2000,1,6,Philadelphia Eagles / 1st / 13th pick / 2022,DaviJo03
17,Nakobe Dean,23,LB,5,4,231,5-11,Georgia,12/13/2000,1,1,Philadelphia Eagles / 3rd / 83rd pick / 2022,DeanNa00
