No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
7,Shaquil Barrett,31,LOLB,16,16,250,6-2,Nebraska-OmahaColorado St.,11/17/1992,8,8,,BarrSh00
52,K.J. Britt,24,LB,16,4,240,6-0,Auburn,6/4/1999,2,3,Tampa Bay Buccaneers / 5th / 176th pick / 2021,BritKJ00
5,Jake Camarda,24,P,17,0,193,6-1,Georgia,4/20/1999,1,3,Tampa Bay Buccaneers / 4th / 133rd pick / 2022,CamaJa00
54,Lavonte David,33,LB,15,15,233,6-1,Fort Scott (KS)Nebraska,1/23/1990,11,7,Tampa Bay Buccaneers / 2nd / 58th pick / 2012,DaviLa00
24,Carlton Davis,27,RCB,12,12,206,6-1,Auburn,12/31/1996,5,5,Tampa Bay Buccaneers / 2nd / 63rd pick / 2018,DaviCa02
35,Jamel Dean,27,CB,13,13,206,6-1,Auburn,10/15/1996,4,5,Tampa Bay Buccaneers / 3rd / 94th pick / 2019,DeanJa00
30,Dee Delaney,28,DB,17,2,200,5-11,The CitadelMiami (FL),2/20/1995,5,2,,DelaDe00
8,SirVocea Dennis,23,LB,13,0,230,6-0,Pittsburgh,3/9/2000,Rook,1,Tampa Bay Buccaneers / 5th / 153rd pick / 2023,DennSi00
0,YaYa Diaby,24,OLB,17,7,270,6-4,Georgia MilitaryLouisville,5/30/1999,Rook,5,Tampa Bay Buccaneers / 3rd / 82nd pick / 2023,DiabYa00
87,Payne Durham,23,TE,13,2,255,6-5,Purdue,6/15/2000,Rook,1,Tampa Bay Buccaneers / 5th / 171st pick / 2023,DurhPa00
22,Chase Edmonds,27,RB,13,0,205,5-9,Fordham,4/13/1996,5,2,Arizona Cardinals / 4th / 134th pick / 2018,EdmoCh00
13,Mike Evans,30,WR,17,17,231,6-5,Texas A&M,8/21/1993,9,11,Tampa Bay Buccaneers / 1st / 7th pick / 2014,EvanMi00
71,Matt Feiler,31,G,13,6,330,6-6,Bloomsburg,7/7/1992,6,3,,FeilMa00
96,Greg Gaines,27,DL,17,2,312,6-1,Washington,5/6/1996,4,2,Los Angeles Rams / 4th / 134th pick / 2019,GainGr00
92,William Gholston,32,DL,16,1,281,6-6,Michigan St.,7/31/1991,10,2,Tampa Bay Buccaneers / 4th / 126th pick / 2013,GholWi00
49,Cam Gill,26,OLB,15,0,240,6-3,Wagner,12/14/1997,3,1,,GillCa00
14,Chris Godwin,27,WR,17,17,209,6-1,Penn St.,2/27/1996,6,9,Tampa Bay Buccaneers / 3rd / 84th pick / 2017,GodwCh00
67,Luke Goedeke,25,T,17,17,312,6-5,Wisconsin–Stevens PointCentral Michigan,11/21/1998,1,8,Tampa Bay Buccaneers / 2nd / 57th pick / 2022,GoedLu00
91,Mike Greene,24,DL,10,2,293,6-3,James Madison,5/3/1999,1,1,,GreeMi01
