No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
67,Nick Allegretti,28,LG,17,17,310,6-4,Illinois,4/21/1996,5,9,Kansas City Chiefs / 7th / 216th pick / 2019,AlleNi00
93,Jonathan Allen,29,DT,8,7,300,6-3,Alabama,1/16/1995,7,3,Washington Redskins / 1st / 17th pick / 2017,AlleJo01
92,Dorance Armstrong Jr.,27,RDE,16,15,255,6-4,Kansas,6/10/1997,6,6,Dallas Cowboys / 4th / 116th pick / 2018,ArmsDo00
87,John Bates,27,TE,17,6,256,6-6,Boise St.,11/6/1997,3,1,Washington Football Team / 4th / 124th pick / 2021,BateJo00
57,Nick Bellore,35,LB,16,0,250,6-1,Central Michigan,5/12/1989,13,1,,BellNi01
63,Tyler Biadasz,27,C,15,15,316,6-4,Wisconsin,11/20/1997,4,8,Dallas Cowboys / 4th / 146th pick / 2020,BiadTy00
2,Dyami Brown,25,WR,16,3,195,6-0,North Carolina,11/1/1999,3,3,Washington Football Team / 3rd / 82nd pick / 2021,BrowDy00
85,Noah Brown,28,WR,11,9,225,6-2,Ohio St.,1/6/1996,7,5,Dallas Cowboys / 7th / 239th pick / 2017,BrowNo00
35,Percy Butler,24,S,17,5,190,6-0,Louisiana,5/29/2000,2,2,Washington Commanders / 4th / 113th pick / 2022,ButlPe00
11,Jeremy Chinn,26,FS,17,17,220,6-3,Southern Illinois,2/26/1998,4,6,Carolina Panthers / 2nd / 64th pick / 2020,ChinJe00
74,Brandon Coleman,24,LT,16,12,320,6-6,Trinity Valley CC (TX)TCU,10/12/2000,Rook,8,Washington Commanders / 3rd / 67th pick / 2024,ColeBr02
76,Samuel Cosmi,25,RG,17,17,309,6-7,Texas,2/16/1999,3,9,Washington Football Team / 2nd / 51st pick / 2021,CosmSa00
80,Jamison Crowder,31,WR,6,1,177,5-9,Duke,6/17/1993,9,1,Washington Redskins / 4th / 105th pick / 2015,CrowJa00
5,Jayden Daniels,24,QB,17,17,210,6-4,Arizona St.LSU,12/18/2000,Rook,20,Washington Commanders / 1st / 2nd pick / 2024,DaniJa02
91,Carl Davis,32,DE,3,0,320,6-5,Iowa,3/2/1992,9,0,Baltimore Ravens / 3rd / 90th pick / 2015,DaviCa01
52,Jamin Davis,26,DE,5,0,234,6-4,Kentucky,12/12/1998,3,0,Washington Football Team / 1st / 19th pick / 2021,DaviJa11
24,Michael Davis,29,CB,15,2,196,6-2,BYU,1/6/1995,7,1,,DaviMi03
